"geneNames","geneIDs","geneNames.1","geneIDs.1","feature","id","fc","pval","qval"
".","MSTRG.6938",".","MSTRG.6938","transcript","7066",3.06099811552819,1.4033219031262e-13,9.06124952848586e-10
".","MSTRG.539",".","MSTRG.539","transcript","551",0.28929720116494,1.65555347209079e-11,5.34495438464511e-08
".","MSTRG.6609",".","MSTRG.6609","transcript","6728",0.742394156179271,3.24119631134323e-09,6.97613486078108e-06
".","MSTRG.7847",".","MSTRG.7847","transcript","7989",0.712366699861855,1.37303057812233e-08,2.21025061927597e-05
".","MSTRG.3867",".","MSTRG.3867","transcript","3932",0.722544979781025,1.75843248850782e-08,2.21025061927597e-05
".","MSTRG.3006",".","MSTRG.3006","transcript","3063",1.54510802955799,2.0538181377816e-08,2.21025061927597e-05
".","MSTRG.10146",".","MSTRG.10146","transcript","10318",1.43678506639959,4.03490403311224e-08,3.72191076311511e-05
".","MSTRG.2735",".","MSTRG.2735","transcript","2788",0.500516309261658,4.68320267010824e-08,3.77992995511112e-05
".","MSTRG.4345",".","MSTRG.4345","transcript","4416",1.56032324304245,6.181255240989e-08,4.43470723234067e-05
".","MSTRG.8809",".","MSTRG.8809","transcript","8971",0.891057095341182,1.76391028228196e-07,0.000113895686926946
".","MSTRG.7435",".","MSTRG.7435","transcript","7571",1.63057897381128,2.32767975116843e-07,0.000136634801393587
".","MSTRG.11492",".","MSTRG.11492","transcript","11679",1.59621392073767,3.24668865347988e-07,0.000157637949474789
".","MSTRG.11055",".","MSTRG.11055","transcript","11234",5.25688028066792,3.41229266731524e-07,0.000157637949474789
".","MSTRG.2188",".","MSTRG.2188","transcript","2231",2.48444447285493,3.41788956581546e-07,0.000157637949474789
".","MSTRG.11885",".","MSTRG.11885","transcript","12081",0.785338083126352,4.80647302181225e-07,0.000202545631800586
".","MSTRG.4860",".","MSTRG.4860","transcript","4947",2.98883200747398,5.2970090336224e-07,0.000202545631800586
".","MSTRG.606",".","MSTRG.606","transcript","622",0.597571745648359,5.34840750354704e-07,0.000202545631800586
".","MSTRG.890",".","MSTRG.890","transcript","910",1.44031691682281,5.64630845967251e-07,0.000202545631800586
".","MSTRG.6651",".","MSTRG.6651","transcript","6774",0.629750453172045,6.19274952207149e-07,0.000210455703494819
".","MSTRG.12566",".","MSTRG.12566","transcript","12777",1.20148163722069,6.68639214662647e-07,0.000215870170453836
