"FPKM.fem1_lane7"	"FPKM.fem1_lane8"	"FPKM.fem2_lane7"	"FPKM.fem2_lane8"	"FPKM.fem4_lane7"	"FPKM.fem4_lane8"	"FPKM.fem5_lane7"	"FPKM.fem5_lane8"	"FPKM.male1_lane7"	"FPKM.male1_lane8"	"FPKM.male2_lane7"	"FPKM.male2_lane8"
"GMOY012028"	1.936574	0	3.911561	0	0	19.228544	0	6.127151	0	2.315884	0	6.66899
"GMOY012210"	0	0	0	0	0	0	5.398195	0	0	0	0	0
"GMOY012212"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY012213"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY012220"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY012221"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY012223"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY012265"	261.602692	237.040268	237.756485	211.834625	341.611725	315.364014	300.224335	291.300323	296.302368	270.599335	216.813095	200.620773
"GMOY012338"	4.581186	0	0	0	0	0	1.37622	1.173012	0	0	0	0
"GMOY012355"	0	0	0.751707	0	1.243538	0	0	0	0	0	0	0
"GMOY012376"	0	0	0	0	0	0	4.220406	4.150652	0	0	0	0
"MSTRG.1"	0	0	0	0	0	0	0	1.379158	0	0	0	2.375062
"MSTRG.10"	0	0	0	0	1.816299	0	0	0	0	0	0	0
"MSTRG.100"	0	0	0	0	0.754566	0	0.212071	0.417132	1.252662	0.871049	3.120291	2.285146
"MSTRG.1000"	10.083331	11.445383	14.52374	11.901072	11.276651	12.882221	9.687823	12.236859	9.499885	7.822702	8.388515	9.123315
"MSTRG.10000"	10.4179705988408	8.96630219871662	19.0565612637135	13.2081309294142	11.4051284630511	12.534531119023	9.64696718174291	12.2424983775616	11.8359512833782	12.8220683334713	13.5269646965432	11.4461012701304
"MSTRG.10001"	23.586088	26.381063	28.428555	35.015366	28.646727	28.888359	28.069895	24.875969	26.538084	29.29141	23.548172	25.048958
"MSTRG.10002"	36.104572	31.80788	64.194351	62.70319	36.823872	31.147692	26.492212	25.175049	26.406496	26.0909	28.011654	31.861023
"MSTRG.10003"	16.187414	20.44911	23.706472	18.132595	9.370122	14.873462	13.787662	13.456387	14.726384	25.703968	12.252254	13.844282
"MSTRG.10004"	2.431197	20.803331	22.766376	27.89942	21.852074	20.92901	23.049541	18.052044	25.195202	4.556572	18.508938	1.453129
"MSTRG.10005"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10006"	29.981302	31.802324	33.187958	30.341297	38.913582	37.090389	29.655544	32.571507	38.852627	37.000229	33.414017	30.966164
"MSTRG.10007"	8.840776	7.098671	6.260237	7.650065	8.921136	8.260427	10.769341	9.832978	10.722699	10.67673	9.295759	10.339002
"MSTRG.10008"	8.146568	8.91569	12.421277	7.04021	10.075475	7.719699	5.35245	9.875524	7.360161	5.36716	5.406708	7.537475
"MSTRG.10009"	68.055359	66.322823	45.976967	46.68391	60.672104	64.579391	61.010281	62.396881	71.641602	75.08918	74.493683	73.438187
"MSTRG.1001"	14.257817	12.700871	21.229404	15.637712	14.960904	14.686579	14.649899	11.936184	7.901731	10.073206	8.459238	10.077378
"MSTRG.10010"	22.15016	20.648087	23.324387	22.462112	15.768659	16.056002	23.164915	21.289867	23.693539	16.251759	23.139832	21.297977
"MSTRG.10011"	5.808035	6.112712	2.903966	2.668582	4.597966	5.66205	6.177966	6.832327	5.543208	6.068186	6.203333	4.854853
"MSTRG.10012"	1.979012	1.997563	0.966397	2.221202	3.660171	3.746391	3.678249	2.901933	3.721605	1.867068	2.526959	2.407854
"MSTRG.10013"	5.657223	7.682451	6.391888	4.536181	6.27186	4.903481	6.900321	6.568653	4.845868	5.968266	3.756887	6.348181
"MSTRG.10014"	43.667416	43.977314	55.542294	57.195625	48.771431	49.257145	42.100487	42.539562	35.484974	35.074566	35.717796	35.095837
"MSTRG.10015"	5.600613	8.128169	2.407945	4.577441	6.243498	6.726577	6.858696	4.378116	6.760548	6.591956	7.892749	8.101566
"MSTRG.10016"	272.809021	229.741592	292.789856	285.572113	372.650604	404.554321	404.169952	416.401306	456.177063	434.867767	337.941986	318.508209
"MSTRG.10017"	37.865036	37.040897	33.536911	32.836491	47.524406	43.98579	44.044376	48.914429	60.14278	62.938904	54.25835	51.282379
"MSTRG.10018"	0	0	2.040465	1.415325	1.188792	2.312769	0	1.607627	0	0.341133	0.335905	0.49604
"MSTRG.10019"	2.122641	1.231936	0.904186	1.063538	1.041705	1.757309	1.420137	1.118456	1.50303	1.66133	0.443628	0.867746
"MSTRG.1002"	0	0	0	0	0	0	0	0	0	0	0	0
"MSTRG.10020"	1.927408	1.531062	2.316883	1.921118	1.469282	1.012608	1.301362	1.217283	0.56965	0.874037	1.076947	0.657028
"MSTRG.10021"	27.306761	28.307182	31.093523	28.114676	32.65379	28.097996	29.412626	25.985577	39.014961	33.579445	35.68985	34.638233
"MSTRG.10022"	0	0	0	0	0	0	0	0	0	0	0	0
