"FPKM.fem1_lane7"	"FPKM.fem1_lane8"	"FPKM.fem2_lane7"	"FPKM.fem2_lane8"	"FPKM.fem4_lane7"	"FPKM.fem4_lane8"	"FPKM.fem5_lane7"	"FPKM.fem5_lane8"	"FPKM.male1_lane7"	"FPKM.male1_lane8"	"FPKM.male2_lane7"	"FPKM.male2_lane8"
"GMOY000001-RA"	0	0	0	0	0	0	0.165697	0	0	0	0.164676	0
"GMOY000002-RA"	0	0	0	0	0	0	0	1.379158	0	0	0	2.375062
"GMOY000003-RA"	1.898615	1.899176	0	1.368116	1.975858	4.017299	1.208969	2.806016	1.406172	2.316539	2.285067	1.226016
"GMOY000004-RA"	0	0	0	0	0	0	0	0	0	0.035405	0	0
"GMOY012941-RA"	0	0	0	0	0	0	0	0	0	1.930397	0	3.048437
"GMOY000005-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY013117-RA"	0	0	0	0	0	0.147877	0	0	0	0.194972	0	0.421088
"GMOY000006-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000007-RA"	0	0	0	0	0	0	0.213152	0.209629	0	0	0	0.214338
"GMOY000008-RA"	0	0	0	0	1.816299	0	0	0	0	0	0	0
"GMOY013148-RA"	0	0	0.27017	0.521877	0.068759	0.149039	0	0.207533	0	0.196497	0	0
"GMOY000009-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY013122-RA"	1.435343	0	0.27017	0	0	0.149039	0	0.370305	0	0.196497	0	0.42439
"GMOY000010-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY013121-RA"	0	0	0	0.509879	0.067181	0	0	0	0	0	0	0
"GMOY000011-RA"	7.908601	6.239755	4.917615	7.673048	8.466022	5.577291	4.788751	7.787114	10.222318	7.72494	8.875553	12.722775
"GMOY000012-RA"	6.237224	6.746628	7.868858	6.763145	9.034511	8.521472	7.757756	6.818928	6.861056	7.555939	6.964127	6.79003
"GMOY000013-RA"	4.596189	4.197746	2.189912	4.262885	3.557444	4.58508	3.232054	4.61025	4.207739	3.381339	5.859431	2.169589
"GMOY000015-RA"	104.595703	107.641685	120.360725	117.007149	89.428619	86.646767	97.097488	93.385994	92.484467	85.182358	70.157257	69.279335
"GMOY000016-RA"	2.674541	2.256557	4.628017	4.283134	5.227086	4.309282	6.850474	7.531654	4.860169	6.4702	6.193147	5.960276
"GMOY000016-RB"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000017-RA"	0.768427	0	0	0	0	0	0.278842	0	0	0	0	0
"GMOY000018-RA"	10.833797	10.430521	14.705509	12.328474	13.733979	13.838293	10.636837	11.251966	11.08322	11.371407	11.915409	11.430231
"GMOY000019-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000020-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000021-RA"	9.980556	17.425383	11.513561	16.301888	16.941164	16.050901	16.804438	16.017639	16.008636	11.159409	13.731472	18.23624
"GMOY000022-RA"	188.700485	189.613235	185.702713	188.345154	210.90303	209.238312	208.072617	206.946533	229.659637	231.960876	221.325729	223.506836
"GMOY000023-RA"	21.559164	27.571831	20.221369	0	21.683403	20.995926	24.561102	39.504448	17.692961	31.33005	27.690479	29.590813
"GMOY000024-RA"	2.566689	5.315264	4.496874	3.608759	3.855511	6.21937	8.69448	9.366951	4.693586	4.341643	7.990384	8.242811
"GMOY000025-RA"	6.8519	10.781848	7.748797	6.184759	7.654489	3.549488	10.09655	11.156991	10.974436	7.807922	6.78485	10.834549
"GMOY000026-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000027-RA"	17.741478	18.394602	21.402225	23.403427	19.17836	16.684706	21.626307	20.165468	22.479696	17.690411	15.604521	14.64014
"GMOY012098-RA"	24.87393	23.742069	14.825498	22.117289	21.061934	21.190205	19.563116	18.888258	21.95553	26.884436	18.263544	23.616142
"GMOY000028-RA"	17.780764	18.086428	18.641592	22.906765	22.222223	20.895054	21.511072	22.452669	21.486856	21.329453	21.488352	21.444973
"GMOY000029-RA"	31.864098	35.729851	32.265747	33.268787	30.400539	32.554024	29.648411	26.46447	35.636017	35.209435	27.961275	30.221891
"GMOY000030-RA"	21.545662	16.454493	13.259218	14.400575	10.371325	11.587062	18.563835	19.82159	13.131288	13.2308	10.322025	7.319643
"GMOY000031-RA"	0	0	0	0	0	0	0	0	0	0	1.068847	0
"GMOY000032-RA"	0	0	0	0	0	0	0	0	0	0	0	0
"GMOY000033-RA"	22.826435	23.93124	22.103416	21.888832	21.795877	26.683737	25.652979	27.371607	32.280689	29.979645	22.803246	26.354221
