Contigs to reverse
type	label	contig	strand	left_end	right_end
contig	0	chromosome	complement	1	7071
contig	4	chromosome	complement	9067	9412
contig	7	chromosome	complement	19390	21984
contig	9	chromosome	complement	25225	30298
contig	10	chromosome	complement	30299	31375
contig	18	chromosome	complement	37262	57255
contig	19	chromosome	complement	57256	59829
contig	25	chromosome	complement	65432	69004
contig	30	chromosome	complement	83299	85670
contig	31	chromosome	complement	85671	86371
contig	33	chromosome	complement	93372	94360
contig	37	chromosome	complement	110613	114728
contig	38	chromosome	complement	114729	121068
contig	41	chromosome	complement	127021	127834
contig	45	chromosome	complement	134540	138718
contig	46	chromosome	complement	138719	140237
contig	48	chromosome	complement	140283	144501
contig	49	chromosome	complement	144502	145947
contig	51	chromosome	complement	147547	149002
contig	55	chromosome	complement	172575	175604
contig	56	chromosome	complement	175605	178849
contig	57	chromosome	complement	178850	179843
contig	62	chromosome	complement	189166	193500
contig	66	chromosome	complement	197844	198127
contig	67	chromosome	complement	198128	216729
contig	68	chromosome	complement	216730	223317


Ordered Contigs
type	label	contig	strand	left_end	right_end
contig	38	chromosome	complement	1	6340
contig	39	chromosome	forward	6341	9877
contig	17	chromosome	forward	9878	11239
contig	55	chromosome	complement	11240	14269
contig	68	chromosome	complement	14270	20857
contig	65	chromosome	forward	20858	24949
contig	0	chromosome	complement	24950	32020
contig	9	chromosome	complement	32021	37094
contig	46	chromosome	complement	37095	38613
contig	37	chromosome	complement	38614	42729
contig	43	chromosome	forward	42730	47979
contig	25	chromosome	complement	47980	51552
contig	61	chromosome	forward	51553	58970
contig	4	chromosome	complement	58971	59316
contig	62	chromosome	complement	59317	63651
contig	34	chromosome	forward	63652	68839
contig	59	chromosome	forward	68840	70481
contig	66	chromosome	complement	70482	70765
contig	45	chromosome	complement	70766	74944
contig	6	chromosome	forward	74945	83067
contig	32	chromosome	forward	83068	90067
contig	12	chromosome	forward	90068	91642
contig	72	chromosome	forward	91643	91989
contig	57	chromosome	complement	91990	92983
contig	51	chromosome	complement	92984	94439
contig	52	chromosome	forward	94440	118011
contig	50	chromosome	forward	118012	119610
contig	67	chromosome	complement	119611	138212
contig	19	chromosome	complement	138213	140786
contig	40	chromosome	forward	140787	143201
contig	28	chromosome	forward	143202	154201
contig	35	chromosome	forward	154202	156941
contig	41	chromosome	complement	156942	157755
contig	73	chromosome	forward	157756	168990
contig	30	chromosome	complement	168991	171362
contig	36	chromosome	forward	171363	179686
contig	7	chromosome	complement	179687	182281
contig	8	chromosome	forward	182282	185521
contig	26	chromosome	forward	185522	186303
contig	56	chromosome	complement	186304	189548
contig	33	chromosome	complement	189549	190537
contig	44	chromosome	forward	190538	191992
contig	31	chromosome	complement	191993	192693
contig	18	chromosome	complement	192694	212687
contig	48	chromosome	complement	212688	216906
contig	49	chromosome	complement	216907	218352
contig	13	chromosome	forward	218353	219872
contig	10	chromosome	complement	219873	220949
contig	24	chromosome	forward	220950	225331
contig	2	chromosome	forward	225332	227029
contig	1	chromosome	forward	227030	227075
contig	3	chromosome	forward	227076	227326
contig	5	chromosome	forward	227327	229180
contig	11	chromosome	forward	229181	229238
contig	14	chromosome	forward	229239	229283
contig	16	chromosome	forward	229284	230609
contig	20	chromosome	forward	230610	230975
contig	21	chromosome	forward	230976	231026
contig	22	chromosome	forward	231027	231829
contig	27	chromosome	forward	231830	233050
contig	29	chromosome	forward	233051	234341
contig	47	chromosome	forward	234342	234386
contig	60	chromosome	forward	234387	234648
contig	63	chromosome	forward	234649	234899
contig	69	chromosome	forward	234900	234941
contig	70	chromosome	forward	234942	235156
contig	71	chromosome	forward	235157	236721



