Ordered Contigs
type	label	contig	strand	left_end	right_end
contig	0	chromosome	forward	1	7071
contig	1	chromosome	forward	7072	7117
contig	2	chromosome	forward	7118	8815
contig	3	chromosome	forward	8816	9066
contig	4	chromosome	forward	9067	9412
contig	5	chromosome	forward	9413	11266
contig	6	chromosome	forward	11267	19389
contig	7	chromosome	forward	19390	21984
contig	8	chromosome	forward	21985	25224
contig	9	chromosome	forward	25225	30298
contig	10	chromosome	forward	30299	31375
contig	11	chromosome	forward	31376	31433
contig	12	chromosome	forward	31434	33008
contig	13	chromosome	forward	33009	34528
contig	14	chromosome	forward	34529	34573
contig	16	chromosome	forward	34574	35899
contig	17	chromosome	forward	35900	37261
contig	18	chromosome	forward	37262	57255
contig	19	chromosome	forward	57256	59829
contig	20	chromosome	forward	59830	60195
contig	21	chromosome	forward	60196	60246
contig	22	chromosome	forward	60247	61049
contig	24	chromosome	forward	61050	65431
contig	25	chromosome	forward	65432	69004
contig	26	chromosome	forward	69005	69786
contig	27	chromosome	forward	69787	71007
contig	28	chromosome	forward	71008	82007
contig	29	chromosome	forward	82008	83298
contig	30	chromosome	forward	83299	85670
contig	31	chromosome	forward	85671	86371
contig	32	chromosome	forward	86372	93371
contig	33	chromosome	forward	93372	94360
contig	34	chromosome	forward	94361	99548
contig	35	chromosome	forward	99549	102288
contig	36	chromosome	forward	102289	110612
contig	37	chromosome	forward	110613	114728
contig	38	chromosome	forward	114729	121068
contig	39	chromosome	forward	121069	124605
contig	40	chromosome	forward	124606	127020
contig	41	chromosome	forward	127021	127834
contig	43	chromosome	forward	127835	133084
contig	44	chromosome	forward	133085	134539
contig	45	chromosome	forward	134540	138718
contig	46	chromosome	forward	138719	140237
contig	47	chromosome	forward	140238	140282
contig	48	chromosome	forward	140283	144501
contig	49	chromosome	forward	144502	145947
contig	50	chromosome	forward	145948	147546
contig	51	chromosome	forward	147547	149002
contig	52	chromosome	forward	149003	172574
contig	55	chromosome	forward	172575	175604
contig	56	chromosome	forward	175605	178849
contig	57	chromosome	forward	178850	179843
contig	59	chromosome	forward	179844	181485
contig	60	chromosome	forward	181486	181747
contig	61	chromosome	forward	181748	189165
contig	62	chromosome	forward	189166	193500
contig	63	chromosome	forward	193501	193751
contig	65	chromosome	forward	193752	197843
contig	66	chromosome	forward	197844	198127
contig	67	chromosome	forward	198128	216729
contig	68	chromosome	forward	216730	223317
contig	69	chromosome	forward	223318	223359
contig	70	chromosome	forward	223360	223574
contig	71	chromosome	forward	223575	225139
contig	72	chromosome	forward	225140	225486
contig	73	chromosome	forward	225487	236721



